mutation_rate,iterations_number,population_size, number_of_cities,average_solution_distance
0.0,10,10,10,30.245519544253646
0.0,10,10,100,0.0
0.0,10,10,200,0.0
0.0,10,100,10,36.11145563736634
0.0,10,100,100,0.0
0.0,10,100,200,0.0
0.0,10,200,10,38.43556122142442
0.0,10,200,100,0.0
0.0,10,200,200,0.0
0.0,100,10,10,30.0
0.0,100,10,100,0.0
0.0,100,10,200,0.0
0.0,100,100,10,34.452515036262305
0.0,100,100,100,0.0
0.0,100,100,200,0.0
0.0,100,200,10,38.62068054764855
0.0,100,200,100,0.0
0.0,100,200,200,0.0
0.0,200,10,10,27.8
0.0,200,10,100,0.0
0.0,200,10,200,0.0
0.0,200,100,10,34.24201266871231
0.0,200,100,100,0.0
0.0,200,100,200,0.0
0.0,200,200,10,40.83767586094003
0.0,200,200,100,0.0
0.0,200,200,200,0.0
0.1,10,10,10,24.783677152230823
0.1,10,10,100,0.0
0.1,10,10,200,0.0
0.1,10,100,10,29.56307373766436
0.1,10,100,100,0.0
0.1,10,100,200,0.0
0.1,10,200,10,37.85077855104252
0.1,10,200,100,0.0
0.1,10,200,200,0.0
0.1,100,10,10,33.4
0.1,100,10,100,0.0
0.1,100,10,200,0.0
0.1,100,100,10,33.66299413025056
0.1,100,100,100,0.0
0.1,100,100,200,0.0
0.1,100,200,10,38.57635400816047
0.1,100,200,100,0.0
0.1,100,200,200,0.0
0.1,200,10,10,28.2
0.1,200,10,100,0.0
0.1,200,10,200,0.0
0.1,200,100,10,37.45267764699924
0.1,200,100,100,0.0
0.1,200,100,200,0.0
0.1,200,200,10,37.400335695843545
0.1,200,200,100,0.0
0.1,200,200,200,0.0
0.2,10,10,10,25.056665051701646
0.2,10,10,100,0.0
0.2,10,10,200,0.0
0.2,10,100,10,37.800329085845796
0.2,10,100,100,0.0
0.2,10,100,200,0.0
0.2,10,200,10,37.59940789493443
0.2,10,200,100,0.0
0.2,10,200,200,0.0
0.2,100,10,10,33.0
0.2,100,10,100,0.0
0.2,100,10,200,0.0
0.2,100,100,10,36.83095414122577
0.2,100,100,100,0.0
0.2,100,100,200,0.0
0.2,100,200,10,38.62027640720286
0.2,100,200,100,0.0
0.2,100,200,200,0.0
0.2,200,10,10,34.0
0.2,200,10,100,0.0
0.2,200,10,200,0.0
0.2,200,100,10,33.72386702099313
0.2,200,100,100,0.0
0.2,200,100,200,0.0
0.2,200,200,10,37.865915228017414
