mutation_rate,iterations_number,population_size, number_of_cities,average_solution_distance
0.0,10,10,10,0.09902821516734575
0.0,10,10,100,0.008639803917110514
0.0,10,10,200,0.004187268656900635
0.0,10,100,10,0.10909380127812703
0.0,10,100,100,0.009143769908767797
0.0,10,100,200,0.004331690694935601
0.0,10,200,10,0.10492157145262768
0.0,10,200,100,0.00908591337281395
0.0,10,200,200,0.004420253523360716
0.0,100,10,10,0.09731227048978036
0.0,100,10,100,0.00844954052798369
0.0,100,10,200,0.004111477494514466
0.0,100,100,10,0.11018026091265612
0.0,100,100,100,0.009240639996179922
0.0,100,100,200,0.004363597176312893
0.0,100,200,10,0.1167154666404842
0.0,100,200,100,0.009185004775403172
0.0,100,200,200,0.004411260637736683
0.0,200,10,10,0.10156168312134986
0.0,200,10,100,0.008698463717249597
0.0,200,10,200,0.0041194129752033124
0.0,200,100,10,0.11039339404584347
0.0,200,100,100,0.009080514569088899
0.0,200,100,200,0.004407079370501111
0.0,200,200,10,0.1163355451629112
0.0,200,200,100,0.009257092463921684
0.0,200,200,200,0.0044125366934065656
0.1,10,10,10,0.0976801220305529
0.1,10,10,100,0.008563254014049832
0.1,10,10,200,0.004233427152763164
0.1,10,100,10,0.11303415564985761
0.1,10,100,100,0.009014712936231009
0.1,10,100,200,0.004319392192647116
0.1,10,200,10,0.11032523954944862
0.1,10,200,100,0.009311418235819153
0.1,10,200,200,0.004379685278860819
0.1,100,10,10,0.09720823438355039
0.1,100,10,100,0.008666455891546198
0.1,100,10,200,0.004241091320941566
0.1,100,100,10,0.11089237842302035
0.1,100,100,100,0.009267662623836128
0.1,100,100,200,0.004375873733766214
0.1,100,200,10,0.11290261898826104
0.1,100,200,100,0.009205473445964766
0.1,100,200,200,0.004419827772306132
0.1,200,10,10,0.10049167790694469
0.1,200,10,100,0.00874350570543685
0.1,200,10,200,0.0041863205766937694
0.1,200,100,10,0.11231648440243198
0.1,200,100,100,0.009187247372506546
0.1,200,100,200,0.00438590570559671
0.1,200,200,10,0.11218784757755429
0.1,200,200,100,0.00933234948146098
0.1,200,200,200,0.004408593427307082
0.2,10,10,10,0.09452221410467154
0.2,10,10,100,0.008734607429470482
0.2,10,10,200,0.004172515260128508
0.2,10,100,10,0.10219919270576436
0.2,10,100,100,0.009028666154226341
0.2,10,100,200,0.004373396363604201
0.2,10,200,10,0.11207733100110769
0.2,10,200,100,0.009108448338281115
0.2,10,200,200,0.004356338089418854
0.2,100,10,10,0.10309961252102835
0.2,100,10,100,0.008818790909978771
0.2,100,10,200,0.004221506046781629
0.2,100,100,10,0.1074576304538066
0.2,100,100,100,0.009017115081141568
0.2,100,100,200,0.004372230798586828
0.2,100,200,10,0.11406220340711468
