mutation_rate,iterations_number,population_size, number_of_cities,average_solution_distance
0.0,10,10,10,0.09757292070990112
0.0,10,10,100,0.008662847859682
0.0,10,10,200,0.00424770778362283
0.0,10,100,10,0.11361922951155556
0.0,10,100,100,0.009221341745447758
0.0,10,100,200,0.004440662551531122
0.0,10,200,10,0.11510377102428607
0.0,10,200,100,0.00935175593942746
0.0,10,200,200,0.004470694425659905
0.0,100,10,10,0.10842477818640923
0.0,100,10,100,0.008998047717787217
0.0,100,10,200,0.004283315829607876
0.0,100,100,10,0.13080203181532843
0.0,100,100,100,0.009577880101567765
0.0,100,100,200,0.004536535744055688
0.0,100,200,10,0.143999194703392
0.0,100,200,100,0.009780555064330773
0.0,100,200,200,0.004560210449894643
0.0,200,10,10,0.12312405035653733
0.0,200,10,100,0.009067250355293188
0.0,200,10,200,0.004321216295467727
0.0,200,100,10,0.1469648194675929
0.0,200,100,100,0.009695471117539978
0.0,200,100,200,0.0045356735683121045
0.0,200,200,10,0.1469648194675929
0.0,200,200,100,0.009835389445486321
0.0,200,200,200,0.004637103021343661
0.1,10,10,10,0.09887246022176348
0.1,10,10,100,0.008708948043827713
0.1,10,10,200,0.004213654880265743
0.1,10,100,10,0.11514686544293251
0.1,10,100,100,0.00926855174946265
0.1,10,100,200,0.004369534390867307
0.1,10,200,10,0.12269563056200061
0.1,10,200,100,0.009406324386708704
0.1,10,200,200,0.0044497575109203324
0.1,100,10,10,0.12146057692102322
0.1,100,10,100,0.00909512795171134
0.1,100,10,200,0.004298587051713156
0.1,100,100,10,0.14201862633179405
0.1,100,100,100,0.009756421472117157
0.1,100,100,200,0.004532748469781938
0.1,100,200,10,0.14399919470339206
0.1,100,200,100,0.009724393181092503
0.1,100,200,200,0.004549116421374567
0.1,200,10,10,0.12488666525149388
0.1,200,10,100,0.009086846793513032
0.1,200,10,200,0.004307697092768044
0.1,200,100,10,0.14696481946759293
0.1,200,100,100,0.0098239716465003
0.1,200,100,200,0.004549264855577416
0.1,200,200,10,0.15191101260339177
0.1,200,200,100,0.009759549116688715
0.1,200,200,200,0.004590685947277863
0.2,10,10,10,0.09530767154683668
0.2,10,10,100,0.008657506921623818
0.2,10,10,200,0.004207906275921136
0.2,10,100,10,0.11185093955900864
0.2,10,100,100,0.009283330298881403
0.2,10,100,200,0.004416174549328303
0.2,10,200,10,0.12033324579976142
0.2,10,200,100,0.00924122416208869
0.2,10,200,200,0.004476929216188907
0.2,100,10,10,0.11650959231925921
0.2,100,10,100,0.008914286537744178
0.2,100,10,200,0.004315857680175675
0.2,100,100,10,0.1278364070511276
0.2,100,100,100,0.009654766614877987
0.2,100,100,200,0.004485779963417832
0.2,100,200,10,0.1390530015675932
0.2,100,200,100,0.009693696863433474
0.2,100,200,200,0.0045269640407065975
0.2,200,10,10,0.12470333520219316
0.2,200,10,100,0.009217597422678523
0.2,200,10,200,0.0043730653709435595
0.2,200,100,10,0.14201862633179405
0.2,200,100,100,0.009817754362907907
0.2,200,100,200,0.004565299114857198
0.2,200,200,10,0.1469648194675929
0.2,200,200,100,0.00984866132863769
0.2,200,200,200,0.0045696715959351345
0.30000000000000004,10,10,10,0.10073383490546561
0.30000000000000004,10,10,100,0.008961594272186018
0.30000000000000004,10,10,200,0.004311295295509347
0.30000000000000004,10,100,10,0.10915750359544127
0.30000000000000004,10,100,100,0.009260975472256048
0.30000000000000004,10,100,200,0.004392723716916348
0.30000000000000004,10,200,10,0.1164123769748405
0.30000000000000004,10,200,100,0.009426963822585455
0.30000000000000004,10,200,200,0.004445552553733149
0.30000000000000004,100,10,10,0.11971715359130641
0.30000000000000004,100,10,100,0.009167485842140149
0.30000000000000004,100,10,200,0.004298358924887905
0.30000000000000004,100,100,10,0.13507920185940953
0.30000000000000004,100,100,100,0.009621944188223793
0.30000000000000004,100,100,200,0.004524140803784581
0.30000000000000004,100,200,10,0.1390530015675932
0.30000000000000004,100,200,100,0.009795818639478556
0.30000000000000004,100,200,200,0.004565108116070244
0.30000000000000004,200,10,10,0.11931803862375348
0.30000000000000004,200,10,100,0.00931069326116606
0.30000000000000004,200,10,200,0.004406573366379057
0.30000000000000004,200,100,10,0.1410335699391912
0.30000000000000004,200,100,100,0.00962545691154004
0.30000000000000004,200,100,200,0.004514248642780645
0.30000000000000004,200,200,10,0.1469648194675929
0.30000000000000004,200,200,100,0.009861192678772357
0.30000000000000004,200,200,200,0.00460055348351091
0.4,10,10,10,0.10504918920064676
0.4,10,10,100,0.00904009003299118
0.4,10,10,200,0.004239503145157463
0.4,10,100,10,0.11279249872088856
